category,datetime,headline,id,image,related,source,summary,url
company,2025-08-06 18:02:44,Equities Rise Intraday Amid Latest Corporate Results; Apple Gains,136240823,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,US benchmark equity indexes were higher intraday as Wall Street parsed the latest batch of earnings.,https://finnhub.io/api/news?id=658eeb8c52938f70233134618481225ac8feff8748116fd0cd16c052b46bf33b
company,2025-08-06 17:57:07,Apple makes $100 billion genius move to skirt huge problem,136240824,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Apple is getting proactive about plans for its future.,https://finnhub.io/api/news?id=4c08c4879dfd260e95f99350e6896874ba8ebd7866d05167c3a22baa26e5bcd3
company,2025-08-06 17:52:53,Top brass firings at DOJ raise new questions about Trump's antitrust agenda,136239296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Fractures in the Trump administration's roughly six-month-old antitrust team are recasting doubts about its commitment to competition enforcement.,https://finnhub.io/api/news?id=b0bb169f4f1ad65878d97c4e46360b38ea32e189b7967898b8d4ec896dbac8b0
company,2025-08-06 17:52:27,Sector Update: Tech Stocks Advance in Afternoon Trading,136240813,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Tech stocks were higher Wednesday afternoon, with the Technology Select Sector SPDR Fund (XLK) addin",https://finnhub.io/api/news?id=10309252594a8135df4d9bf6810a77aedc791ed2e1535e8ad6d54816c240595a
company,2025-08-06 17:49:30,Trump to announce Apple’s plan to invest $100bn in US manufacturing,136240827,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Tech giant’s plan to up domestic investment over next four years comes as it seeks to avoid Trump’s threatened tariffs,https://finnhub.io/api/news?id=4fa17493bbf2b71e997d459421908319677cd059043bc9b7e5c71b3019e31bea
company,2025-08-06 17:27:29,US Equity Indexes Rise as Earnings in Focus Ahead of Potential Secondary Tariffs on Russia,136240828,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,US equity indexes rose after midday Wednesday as investors focused on quarterly earnings while await,https://finnhub.io/api/news?id=38298ff43d97435e6bf16c43293ee5ca5f6297d9df1e5b44ce1cc908bc2df309
company,2025-08-06 17:27:08,Stock Market Today: Indexes Rise Despite New Trump Tariff; Apple Soars As Nvidia AI Rival Dives (Live Coverage),136238892,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,The Dow Jones Industrial Average advanced Wednesday afternoon and other key large-cap stock indexes were near session highs as investors waded through corporate earnings reports. Wall Street also weighed a Federal Reserve official saying an interest-rate cut would be appropriate.,https://finnhub.io/api/news?id=e8eb06d83c56122ba4b60f43482a2d3ca94c2553941b55edb3a308fb8ab3fb0f
company,2025-08-06 17:20:29,Apple Is Pledging Another $100 Billion in US Investment. How Should You Play AAPL Stock Here?,136240829,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,A White House official says Apple will soon commit another $100 billion to US manufacturing. Daiwa reiterates its “Outperform” rating on AAPL shares.,https://finnhub.io/api/news?id=4d38b31c3babbd91302ed6d7e7f5e89eeefc9074ea75dfd3e5a10eba3420cc13
company,2025-08-06 17:14:02,"Apple $100B commitment, McDonald's weakness, Super Micro sinks",136238905,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Yahoo Finance's John Hyland tracks Wednesday's top market movers and stocks in this Market Minute. Apple (AAPL) will announce an additional $100 billion commitment to the US alongside President Trump, adding to its previous $500 billion pledge. McDonald's (MCD) says economic stress is weighing on breakfast sales, with the CEO promising more value-focused options ahead. Super Micro Computer (SMCI) stock sinks after the company cut its full-year revenue outlook, raising concerns over artificial intelligence (AI) server demand and pricing pressure. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",https://finnhub.io/api/news?id=fa1017e88ea5904b7af835f816291fd78855b0efed21c93707e5444e7871f270
company,2025-08-06 16:54:54,Trump hikes India levy over Russian oil as tariff deadline approaches,136238906,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"US President Donald Trump on Wednesday ordered steeper tariffs on Indian goods over New Delhi's continued purchase of Russian oil, opening a new front in his trade wars just hours before another wave of duties takes effect.Trump's order also threatens penalties on other countries who ""directly or indirectly"" import Russian oil, a key revenue source for Moscow's war in Ukraine.",https://finnhub.io/api/news?id=86148a3ff140d5881f691deb15ab5b7fc4beb3f9a1696d6091647a849631dd59
company,2025-08-06 16:54:02,Why Apple (AAPL) Shares Are Climbing Today,136238907,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Apple surges ahead of game-changing U.S. manufacturing announcement,https://finnhub.io/api/news?id=ca7e76bab88cd6b0e3e9a448d4195ddc79d631c27d789be2c9cd6072d5cfb7fe
company,2025-08-06 16:48:24,Trump Plans To Unveil $100B Apple Investment in the US. What You Need To Know,136238908,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple CEO Tim Cook is expected to join President Trump at the White House later Wednesday to unveil a $100 billion pledge in U.S. manufacturing, according to a White House official.",https://finnhub.io/api/news?id=404bb0708015f1404b2c16437e32ce844803c05186e71c18c35aa420d7b5368c
company,2025-08-06 16:40:53,US Equity Indexes Rise as Earnings Flood in While Investors Await More Tariff News,136238910,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,US equity indexes rose amid an onslaught of quarterly earnings reports and as investors awaited pote,https://finnhub.io/api/news?id=826b4c2f43cbd7a1c8d47f84d98e1a5c1d5771eef6c9b16aa1ef736184ba17ad
company,2025-08-06 16:37:00,Apple Stock Rally Pushes Nasdaq Near a Record,136249718,,AAPL,DowJones,Apple Stock Rally Pushes Nasdaq Near a Record,https://finnhub.io/api/news?id=024a1869284159711d343a8024ed92ed2f2dbeb816d160955eaff7244c5f86bb
company,2025-08-06 16:32:27,What August Rut? The Market Is Getting Out of Its Own Head.,136238912,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The Dow dipped into the red, then turned green--gaining 140 points, or 0.3%.  The Nasdaq Composite was up 1%.  The market is getting over its case of bad breadth: 305 S&P 500 stocks were gainers at midday.",https://finnhub.io/api/news?id=c8c931032b012e154c8a43becb72a158a7abc5132ea7572b351dc4e185f691bd
company,2025-08-06 16:26:09,"Stock Market Today: Dow, Nasdaq Finish Higher As Apple Surges; Chip Leader Dives On Earnings",136295856,,AAPL,DowJones,"Stock Market Today: Dow, Nasdaq Finish Higher As Apple Surges; Chip Leader Dives On Earnings",https://finnhub.io/api/news?id=70a95601ed6d6ea5b23f556bcbd7a2a383937617307584a055df94fde5dc5d2d
company,2025-08-06 16:08:35,Super Micro hit again as AI boom wanes,136238913,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Plus: McDonald's returns to growth and Six Flags struggles because of bad weather,https://finnhub.io/api/news?id=ffb81484773b578f8afd0a2e2d6882531abb439b3a224e47aea9a42157fb9a1e
company,2025-08-06 16:04:14,Apple raises investment in US by $100bn after Trump pressure,136238915,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple has pledged a $100bn (£75bn) investment in American manufacturing after Donald Trump told Tim Cook, the chief executive, to stop making iPhones in India.",https://finnhub.io/api/news?id=4942de17b0bf7525ac79b987be1869fc42bd765d95f2e8190fea2b5d4df45a97
company,2025-08-06 15:50:00,Apple to Announce Another $100 Billion Investment in American Manufacturing,136238917,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple  will pledge to invest another $100 billion in U.S. operations at a White House event on Wednesday, adding to the tech industry’s efforts to meet President Trump’s request to expand domestic manufacturing.  Investors hope appeals by Apple and other companies can limit the economic damage from tariffs.  Apple shares rose nearly 4% on Wednesday morning.",https://finnhub.io/api/news?id=9d99bbd93924e27c974463c289eee8f018bcd041c554c16b485707f97751a46f
company,2025-08-06 15:45:06,Top Midday Stories: Apple to Invest Extra $100 Billion in US; Disney Shares Fall Despite EPS Guidance Raise,136238918,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,All three major US stock indexes were up in late-morning trading Wednesday as market participants po,https://finnhub.io/api/news?id=2f1e7563037dd1a30879679ffa05f62304f9a7d3d46d1ffd7958a5831da733af
company,2025-08-06 15:37:09,Why Apple Stock Is Jumping Today,136238919,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Apple is expected to announce some major news at the White House today.,https://finnhub.io/api/news?id=e43884606495dc5575f9ba0628caedc5a63ce1b50dcb7b3d61024c815bc771c1
company,2025-08-06 15:36:00,Apple Stock Soars on a New $100 Billion U.S. Investment. Trump Will Tout Factories.,136238920,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple  stock was rising Wednesday as investors awaited an announcement from the company later today about building new factories in the U.S.  According to a White House official, Apple will announce a new $100 billion commitment in the U.S., an acceleration of its U.S. investment that now totals $600 billion over the next four years.  The official also confirmed that Apple CEO Tim Cook will be at the announcement on Tuesday, which is expected to be held in the Oval Office at 4:30 p.m. ET.",https://finnhub.io/api/news?id=67b7b90b549c683f24052e96f2bb2c1a6c3c64c6625e26a72c2760cee7d04adc
company,2025-08-06 15:29:00,"Sports Technology Company Evaluation Report 2025: Apple, Samsung, and Alphabet Continue to Lead through Innovation and Strategic Initiatives",136238921,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The Sports Technology Companies Quadrant delivers an in-depth analysis of the global Sports Technology market, spotlighting key industry players, innovations, and trends. Over 100 companies were assessed, with the top 12 recognized as leaders in the quadrant. This report covers sports data analytics, smart stadiums, e-sports, and related devices, emphasizing growth drivers like enhanced fan engagement, data-driven decisions, and esport tech adoption. Despite challenges like high costs, opportuni",https://finnhub.io/api/news?id=839832a2b7461d933889661fd89aa5b00107cb5a8f85f835b6d121b23aa3cd0c
company,2025-08-06 15:18:02,"Apple will commit another $100 billion to US manufacturing, Trump set to announce",136238922,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,US President Donald Trump’s tariff threats have pushed companies to placate Washington by ramping up domestic manufacturing.,https://finnhub.io/api/news?id=9efe7a892c369039149ece38f7314a2f194e57b3356281047765a8e7eeca4e26
company,2025-08-06 15:10:25,Trump Hosting Apple Exec to Tout $100 Billion Investment,136238923,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple is adding $100 billion to its previous $500 billion pledge to invest in U.S. operations, per two White House officials",https://finnhub.io/api/news?id=4c68f0097d36636515a3aae573ac2a8f6688be709f148653a54248ca0a9a4832
company,2025-08-06 15:06:08,Traitors producer hit by TV slowdown,136238924,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,The British production giant behind The Traitors has taken a hit to revenues as the TV industry cuts back spending on new shows.,https://finnhub.io/api/news?id=8ca46415ece1e08f985b925ea17d6c31d9735a9dde997cdd367293a8b97040a2
company,2025-08-06 14:55:24,"Apple to announce additional $100 billion in US investment, following Trump iPhone tariff threat",136237081,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Apple to announce an additional US investments during a press conference at the White House Wednesday.,https://finnhub.io/api/news?id=02969130cfa6c8a3ed8d9fa9ceb7fb0f7406b3d208e499da3695863b7955fa69
company,2025-08-06 14:52:20,Stock Market Today: Dow Edges Up As Fed Officials Signal Shifts; Nvidia Rival Dives On Earnings (Live Coverage),136237052,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The Dow Jones index fell modestly Wednesday, but Nvidia rival Advanced Micro Devices plunged on earnings.",https://finnhub.io/api/news?id=f57fb75e5764747813b15caec127595e5643b38f9259915151c8154c4e2b69a3
company,2025-08-06 14:46:33,"Trump will highlight Apple's plans to invest $100 billion more in US, raising total to $600 billion",136237083,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"President Donald Trump on Wednesday is expected to celebrate at the White House a commitment by Apple to increase its U.S. investments by an additional $100 billion over the next four years.  “Today’s announcement with Apple is another win for our manufacturing industry that will simultaneously help reshore the production of critical components to protect America’s economic and national security,"" White House spokeswoman Taylor Rogers said.  Apple had previously said it intended to invest $500 billion domestically, a figure it will now increase to $600 billion.",https://finnhub.io/api/news?id=402b2773dffd66d93ae9da3f29acbf8f6f8450df178df3dd4a10d1fb657c6c56
company,2025-08-06 14:30:17,BC-Most Active Stocks,136237047,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Gibo Holdings Ltd. 35,705,006 0.0516",https://finnhub.io/api/news?id=26982bfb4b05008315b6e3f5c3b0939bb58003bf44db40402dc7f99bc79c8f8b
company,2025-08-06 14:29:33,Why MP Materials Stock Surged an Incredible 85% in July,136237085,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,The necessity of ensuring the U.S. has a domestic supply of rare-earth minerals and magnets is behind this stock's astonishing rise in 2025.,https://finnhub.io/api/news?id=dba63a7d4709b77bb6be34761f010dc05dab0fb483d8173fb2717d7b792c247d
company,2025-08-06 14:03:00,Apple Stock Rises Ahead of White House Investment Announcement,136237087,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple will announce a $100 billion U.S. manufacturing commitment at the White House on Wednesday, a White House official said, marking the iPhone maker's latest attempt to appeal to President Trump.  Shares in Apple added nearly 3% in early trading.  Kevin Hassett, National Economic Council director, told Fox Business in a morning interview that Apple may soon announce a U.S. investment.",https://finnhub.io/api/news?id=80f3dc102ea6389d445f25bba1bc798ca04ca8918a5a0e3a4dd5b26dfd3de747
company,2025-08-06 13:59:54,Apple to Invest Another $100 Billion in US,136237088,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,President Donald Trump will announce that Apple will spend another $100 billion on domestic manufacturing. A White House official says Apple will make more critical components here in the US. Apple CEO Tim Cook is expected to attend the event. Bloomberg's Ed Ludlow reports.,https://finnhub.io/api/news?id=d03eeb5c59f450835e30ce15a6c3c0fec88aa3bd9b24dde8df732f44201c8ad1
company,2025-08-06 13:57:14,Hassett: Apple May Make U.S. Investment Announcement Soon,136237089,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple may soon announce it is making an investment in the U.S. soon, according to National Economic Council director Kevin Hassett.  The iPhone maker didn’t immediately respond to a request for comment.",https://finnhub.io/api/news?id=a45134972fc077f934f7787c63ee3c94423b6e3348e5e6e5a4e6d65396f348f8
company,2025-08-06 13:40:39,"Apple is investing another $100 billion in the US, Trump set to announce",136237092,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple is investing another $100 billion to expand its operations in the United States, President Donald Trump will announce later Wednesday, a White House official said.",https://finnhub.io/api/news?id=e2d1112933922fad4bc346a329d2cef278727864df9bedb7a4d3940d76815145
company,2025-08-06 13:38:00,The Fed's Inflation Conundrum & an AI Billionaire Battle Royale,136237093,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The Fed kept rates flat, Apple and Amazon reported earnings, and we have the biggest names in AI battle it out for supremacy.",https://finnhub.io/api/news?id=a6e9d6785b01ad59a51442f7ecf90dfb34247f4bea0f9024e05eff5d2de0d16a
company,2025-08-06 13:36:47,Stock Markets Open Higher Amid Slew of Earnings Ahead of Trump Tariffs Deadline,136237094,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The stock market perked up to start the day on Wednesday, but the major indexes continued to float a range of sideways trading.  The Nasdaq Composite was up 0.2%.  The yield on the 2-year Treasury note was down to 3.74%.",https://finnhub.io/api/news?id=b2006fa22c691566ce12cd12dc5c223e1cef14e72a755a53b82bcbfd7e6840c3
company,2025-08-06 13:32:35,Apple to Boost US Investment by $100B,136237095,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"President Trump will announce Apple's commitment to spending $100B on domestic manufacturing to boost American jobs and businesses, but it's still unlikely for Apple to be on-shoring its iPhone production, reports Bloomberg's Ed Ludlow.",https://finnhub.io/api/news?id=e7564b28248d7eac1a6f8cdbf4aa43cfbdc3fbe3ad2b6a8858284bb591e8ade8
company,2025-08-06 13:29:00,Apple Stock Jumps As White House Touts New U.S. Investment from Company,136237096,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple  stock was rising Wednesday as investors awaited an announcement from the company later today about building new factories in the U.S.  According to a White House official, Apple will announce a new $100 billion commitment in the U.S., an acceleration of its U.S. investment that now totals $600 billion over the next four years.  Apple had previously announced a $500 billion in the U.S. over the next four years.",https://finnhub.io/api/news?id=208e5e868b4408a47de652356d7ff1474700883f3f010db5d6263ed1e7bc0a40
company,2025-08-06 13:10:53,Trump to announce new Apple investment in the US,136237097,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple (AAPL) stock is in focus after the White House said Trump will announce a significant investment in the US from the iPhone maker. To watch more expert insights and analysis on the latest market action, check out more Morning Brief.",https://finnhub.io/api/news?id=63ac9c2053241758a11d34c7f9e91f8145e458197a0eb00d987e7d32fcfe8acb
company,2025-08-06 12:54:47,Apple stock rises on potential US factory announcement,136237098,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Investing.com -- Apple (NASDAQ:AAPL) stock rose 1.25% in pre-market trading Wednesday following comments from National Economic Council Director Kevin Hassett suggesting the tech giant is likely to announce a new factory in the United States.,https://finnhub.io/api/news?id=5769d4e8a05a7b8b5e61c7db65fe289075404e6778cc568d8960ce47d6ca2992
company,2025-08-06 12:30:03,"Apple to pledge $100 billion for US manufacturing, White House official says",136237099,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"WASHINGTON (Reuters) -Apple Inc will announce a domestic manufacturing pledge of $100 billion on Wednesday that will focus on bringing more manufacturing to the United States, a White House official said.  It comes as President Donald Trump pursues an aggressive tariff and trade agenda aimed at moving some manufacturing back into the United States.  Apple said in February it would spend $500 billion in U.S. investments in the next four years that will include a giant factory in Texas for artificial intelligence servers while adding about 20,000 research and development jobs across the country.",https://finnhub.io/api/news?id=54e6d95ad771fb3be70822e09dfaacb70b9e35fe69a2ba52f03aefe504fb8e81
company,2025-08-06 11:50:40,Top 50 High-Quality Dividend Stocks For August 2025,136238375,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2156211986/image_2156211986.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,My investable universe of 50 high-quality dividend growth stocks aims to identify attractive opportunities based on valuation and future return potential.,https://finnhub.io/api/news?id=0f2b197bd42ff70f58a12c008358ad3352486b27942932257b51b6972fdbc4c0
company,2025-08-06 11:36:20,Apple (AAPL) Gets $266 Price Target as App Store Growth Surges,136232106,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple Inc. (NASDAQ:AAPL) is one of the Trending AI Stocks on Wall Street. On August 4, Goldman Sachs analyst Michael Ng reiterated a Buy rating on the stock with a $266.00 price target. The rating affirmation follows strong App Store performance data. The firm estimates that App Store is the largest category within Apple Services […]",https://finnhub.io/api/news?id=18d3fed8f4d2a90aa0b0fa2d4793f9bb0dc161dd9e79dbc0d7a843df12596f42
company,2025-08-06 09:30:00,"With Apple Starting to See iPhone Sales Momentum, Is Now the Time to Buy the Stock?",136232107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Could a tariff pull-forward have driven its strong results?,https://finnhub.io/api/news?id=656aa7fe3fd444e5535d819394dd311497616d02b00a3c2bf85dc1b8b8c3c12e
company,2025-08-06 09:00:00,Janus Henderson Global Research Fund Q2 2025 Commentary,136234156,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,The Fund returned 13.86% and the MSCI World IndexSM returned 11.47%. Click here to read more.,https://finnhub.io/api/news?id=b10a052ec3c375a0f82f47651c28d1d695cd5f4b3508a18c6095089de35ed508
company,2025-08-06 08:59:00,"In-Vehicle Apps Market Growth Trends and Competitive Strategies Report 2025-2033 | Apple, Google, Microsoft, Toyota, and Others Prioritize Innovation and Interoperability in Auto Tech Advancements",136232097,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The in-vehicle apps market is set to grow at an 8.8% CAGR from 2025-2033, fueled by tech advancements and demand for connected driving experiences. Market expansion is driven by AI, cloud tech, and partnerships. Key players like Apple and Google innovate in safety, navigation, and infotainment apps worldwide.Dublin, Aug. 06, 2025 (GLOBE NEWSWIRE) -- The ""In-Vehicle Apps Market Size, Market Share, Application Analysis, Regional Outlook, Growth Trends, Key Players, Competitive Strategies and Forec",https://finnhub.io/api/news?id=379a86387d68ea5335861f2c2b055783b69f5fcac789a9661ea709710cf01d92
company,2025-08-06 08:56:21,"Disney’s ESPN to Buy NFL Network, Other Assets in Stock Swap",136232109,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"(Bloomberg) -- The National Football League will sell most of its media businesses to Walt Disney Co. in exchange for a 10% stake in the ESPN sports networks, deepening the ties between the league and one of its top broadcast partners.Most Read from BloombergMayor Asked to Explain $1.4 Billion of Wasted Johannesburg FundsAll Hail the Humble Speed HumpPATH Train Service Resumes After Fire at Jersey City StationMajor Istanbul Projects Are Stalling as City Leaders Sit in JailWhat England’s New Nati",https://finnhub.io/api/news?id=6180e1c7a95a0d67c05f65962f45b9b9c929219f6f5bd684a6dfca98a5bb0fec
company,2025-08-06 08:33:00,A World Of Opportunity In The Space Economy,136234129,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2181539697/image_2181539697.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"How investors can navigate risks, debunk myths, and access a universe of opportunities well beyond Earthâs atmosphere",https://finnhub.io/api/news?id=653e453d468629fe5b1e13a9f17ff1dab545eb797bac9597847ea81bd44cfe5f
